combo_msku,available_combo_stock,components_count,components,stocks_per_component
CSTE_0341_Wands_Hermoine_Sunglasas,0,2,"['CSTE_0291_OT_Hermoine_wand', 'CSTE_0319_SG_HarryPotter_Round']","[42, 0]"
CSTE_0359_Wands_Hermoine_light_Sg,0,2,"['CSTE_0331_Wands_Hermoine_Light', 'CSTE_0319_SG_HarryPotter_Round']","[14, 0]"
CSTE_0354_Wands_Hermoine_light_MB,14,2,"['CSTE_0331_Wands_Hermoine_Light', 'CSTE_0020_MB_HP_Black']","[14, 84]"
CSTE_0335_Wands_Hermoine_MusicBox,42,2,"['CSTE_0291_OT_Hermoine_wand', 'CSTE_0020_MB_HP_Black']","[42, 84]"
CSTE_0358_Wands_Dumbledore_light_Sg,0,2,"['CSTE_0333_Wands_Dumbledore_Light', 'CSTE_0319_SG_HarryPotter_Round']","[89, 0]"
CSTE_0342_Wands_Dumbledore_Sunglasas,0,2,"['CSTE_0292_OT_Dumbledore_wand', 'CSTE_0319_SG_HarryPotter_Round']","[2, 0]"
CSTE_0353_Wands_DumbleD_light_MB,84,2,"['CSTE_0333_Wands_Dumbledore_Light', 'CSTE_0020_MB_HP_Black']","[89, 84]"
CSTE_0355_Wands_HP_light_Sg,0,2,"['CSTE_0330_Wands_Harrypotter_Light', 'CSTE_0319_SG_HarryPotter_Round']","[80, 0]"
CSTE_0340_Wands_Harrypotter_Sunglasas,0,2,"['CSTE_0294_OT_Harrypotter_new_wand', 'CSTE_0319_SG_HarryPotter_Round']","[0, 0]"
CSTE_0350_Wands_Harrypotter_light_MB,80,2,"['CSTE_0330_Wands_Harrypotter_Light', 'CSTE_0020_MB_HP_Black']","[80, 84]"
CSTE_0357_Wands_Voldemort_Light_Sg,0,2,"['CSTE_0332_Wands_LordVoldmort_Light', 'CSTE_0319_SG_HarryPotter_Round']","[0, 0]"
CSTE_0352_Wands_Voldemort_Light_MB,0,2,"['CSTE_0332_Wands_LordVoldmort_Light', 'CSTE_0020_MB_HP_Black']","[0, 84]"
CSTE_0345_Wands_Snape_Sunglasas,0,2,"['CSTE_0295_OT_Snape_wand', 'CSTE_0319_SG_HarryPotter_Round']","[59, 0]"
Minecraft_Small_Sword_Steve,208,2,"['CSTE_0470_ST_Minecraft_Sword_Small', 'CSTE_0418_ST_MineCraft_Steve']","[288, 208]"
ST-BTS-cooky-tata-FBA,0,2,"['CSTE_0007_ST_Bts_Pillow_Cooky', 'CSTE_0002_ST_Bts_Pillow_Tata']","[0, 0]"
ST-BTS-Cooky-RJ-FBA,0,2,"['CSTE_0007_ST_Bts_Pillow_Cooky', 'CSTE_0008_ST_Bts_Pillow_Rj']","[0, 0]"
ST-BTS-cooky-koya-rj-tata-FBA,0,4,"['CSTE_0007_ST_Bts_Pillow_Cooky', 'CSTE_0008_ST_Bts_Pillow_Rj', 'CSTE_0002_ST_Bts_Pillow_Tata', 'CSTE_0003_ST_Bts_Pillow_Koya']","[0, 0, 0, 0]"
ST-BTS-chimmy-cooky-koya-tata-FBA,0,4,"['CSTE_0007_ST_Bts_Pillow_Cooky', 'CSTE_0002_ST_Bts_Pillow_Tata', 'CSTE_0003_ST_Bts_Pillow_Koya', 'CSTE_0001_ST_Bts_Pillow_Chimmy']","[0, 0, 0, 0]"
ST-BTS-chimmy-van-FBA,0,2,"['CSTE_0001_ST_Bts_Pillow_Chimmy', 'CSTE_0006_ST_Bts_Pillow_Van']","[0, 0]"
ST-BTS-Chimmy-RJ-FBA,0,2,"['CSTE_0001_ST_Bts_Pillow_Chimmy', 'CSTE_0008_ST_Bts_Pillow_Rj']","[0, 0]"
ST-BTS-rj-shooky-FBA,0,2,"['CSTE_0008_ST_Bts_Pillow_Rj', 'CSTE_0005_ST_Bts_Pillow_Shooky']","[0, 0]"
ST-BTS-Koya-tata-FBA,0,2,"['CSTE_0003_ST_Bts_Pillow_Koya', 'CSTE_0002_ST_Bts_Pillow_Tata']","[0, 0]"
steve_zombie,108,2,"['CSTE_0418_ST_MineCraft_Steve', 'CSTE_0420_ST_MineCraft_Zombie']","[208, 108]"
steve_creeper,208,2,"['CSTE_0418_ST_MineCraft_Steve', 'CSTE_0419_ST_MineCraft_Creeper']","[208, 250]"
steve_lama,165,2,"['CSTE_0418_ST_MineCraft_Steve', 'CSTE_0437_ST_Minecraft_Lama_Brown']","[208, 165]"
ST-BTS-RJ-tata-FBA,0,2,"['CSTE_0008_ST_Bts_Pillow_Rj', 'CSTE_0002_ST_Bts_Pillow_Tata']","[0, 0]"
ST-BTS-shooky-tata-FBA,0,2,"['CSTE_0005_ST_Bts_Pillow_Shooky', 'CSTE_0002_ST_Bts_Pillow_Tata']","[0, 0]"
ST-BTS-cooky-Chimmy-FBA,0,2,"['CSTE_0007_ST_Bts_Pillow_Cooky', 'CSTE_0001_ST_Bts_Pillow_Chimmy']","[0, 0]"
ST-BTS-KOYA-Cooky-FBA,0,2,"['CSTE_0003_ST_Bts_Pillow_Koya', 'CSTE_0007_ST_Bts_Pillow_Cooky']","[0, 0]"
ST-BTS-koya-rj-shooky-cooky-FBA,0,4,"['CSTE_0003_ST_Bts_Pillow_Koya', 'CSTE_0008_ST_Bts_Pillow_Rj', 'CSTE_0005_ST_Bts_Pillow_Shooky', 'CSTE_0007_ST_Bts_Pillow_Cooky']","[0, 0, 0, 0]"
ST-BTS-cooky-van-FBA,0,2,"['CSTE_0007_ST_Bts_Pillow_Cooky', 'CSTE_0006_ST_Bts_Pillow_Van']","[0, 0]"
ST-BTS-koya-rj-shooky-chimmy-FBA,0,4,"['CSTE_0003_ST_Bts_Pillow_Koya', 'CSTE_0008_ST_Bts_Pillow_Rj', 'CSTE_0005_ST_Bts_Pillow_Shooky', 'CSTE_0001_ST_Bts_Pillow_Chimmy']","[0, 0, 0, 0]"
ST-BTS-koya-rj-shooky-tata-FBA,0,4,"['CSTE_0003_ST_Bts_Pillow_Koya', 'CSTE_0008_ST_Bts_Pillow_Rj', 'CSTE_0005_ST_Bts_Pillow_Shooky', 'CSTE_0002_ST_Bts_Pillow_Tata']","[0, 0, 0, 0]"
ST-BTS-cooky-shooky-FBA,0,2,"['CSTE_0007_ST_Bts_Pillow_Cooky', 'CSTE_0005_ST_Bts_Pillow_Shooky']","[0, 0]"
ST-BTS-chimmy-cooky-koya-Shooky,0,4,"['CSTE_0001_ST_Bts_Pillow_Chimmy', 'CSTE_0007_ST_Bts_Pillow_Cooky', 'CSTE_0003_ST_Bts_Pillow_Koya', 'CSTE_0005_ST_Bts_Pillow_Shooky']","[0, 0, 0, 0]"
ST-BTS-shooky-van-FBA,0,2,"['CSTE_0005_ST_Bts_Pillow_Shooky', 'CSTE_0006_ST_Bts_Pillow_Van']","[0, 0]"
ST-BTS-Koya-van-FBA,0,2,"['CSTE_0003_ST_Bts_Pillow_Koya', 'CSTE_0006_ST_Bts_Pillow_Van']","[0, 0]"
ST-BTS-shooky-tata-chimmy-cooky,0,4,"['CSTE_0005_ST_Bts_Pillow_Shooky', 'CSTE_0002_ST_Bts_Pillow_Tata', 'CSTE_0001_ST_Bts_Pillow_Chimmy', 'CSTE_0007_ST_Bts_Pillow_Cooky']","[0, 0, 0, 0]"
ST-BTS-Chimmy-Shooky-FBA,0,2,"['CSTE_0001_ST_Bts_Pillow_Chimmy', 'CSTE_0007_ST_Bts_Pillow_Cooky']","[0, 0]"
ST-BTS-Koya-Shooky-FBA,0,2,"['CSTE_0003_ST_Bts_Pillow_Koya', 'CSTE_0005_ST_Bts_Pillow_Shooky']","[0, 0]"
ST-BTS-van-tata-FBA,0,2,"['CSTE_0006_ST_Bts_Pillow_Van', 'CSTE_0002_ST_Bts_Pillow_Tata']","[0, 0]"
ST-BTS-chimmy-tata-FBA,0,2,"['CSTE_0001_ST_Bts_Pillow_Chimmy', 'CSTE_0002_ST_Bts_Pillow_Tata']","[0, 0]"
ST-BTS-Koya-Chimmy-FBA,0,2,"['CSTE_0003_ST_Bts_Pillow_Koya', 'CSTE_0001_ST_Bts_Pillow_Chimmy']","[0, 0]"
BTS-Mang-Chimmy,0,2,"['CSTE_0004_ST_Bts_Pillow_Mang', 'CSTE_0001_ST_Bts_Pillow_Chimmy']","[0, 0]"
ST-BTS-chimmy-cooky-koya-rj-FBA,0,4,"['CSTE_0001_ST_Bts_Pillow_Chimmy', 'CSTE_0007_ST_Bts_Pillow_Cooky', 'CSTE_0003_ST_Bts_Pillow_Koya', 'CSTE_0008_ST_Bts_Pillow_Rj']","[0, 0, 0, 0]"
ST-BTS-koya-rj-FBA,0,2,"['CSTE_0003_ST_Bts_Pillow_Koya', 'CSTE_0008_ST_Bts_Pillow_Rj']","[0, 0]"
CSTE_0290_OT_Harrypotter_wand,0,2,"['CSTE_0294_OT_Harrypotter_new_wand', 'CSTE_0020_MB_HP_Black']","[0, 84]"
Harrypotter_wand,0,2,"['CSTE_0294_OT_Harrypotter_new_wand', 'CSTE_0020_MB_HP_Black']","[0, 84]"
WB-IEVN-6335,49,2,"['CSTE_0293_OT_Voldemort_wand', 'CSTE_0020_MB_HP_Black']","[49, 84]"
CSTE_0343_Wands_Lord Voldmort_Sunglasas,0,2,"['CSTE_0293_OT_Voldemort_wand', 'CSTE_0319_SG_HarryPotter_Round']","[49, 0]"
CSTE_0350_Wands_Hp_light_MB,80,2,"['CSTE_0330_Wands_Harrypotter_Light', 'CSTE_0020_MB_HP_Black']","[80, 84]"
