order_id,type,sku,msku,ordered_qty,available_stock,status
114914439601482626_1,simple,32546987,CSTE_0020_MB_HP_Black,1,84,Available
114950041852214340_1,simple,goku action figure01,CSTE_0442_CLT_AF_Goku_Big,1,0,Out of Stock
114987267378150464_1,simple,CSTE_O0390_OT_Toiletry_Bottles,CSTE_O0390_OT_Toiletry_Bottles,1,35,Available
115048518263139200_1,simple,CSTE_O0390_OT_Toiletry_Bottles,CSTE_O0390_OT_Toiletry_Bottles,1,35,Available
115159305129626690_1,simple,32546987,CSTE_0020_MB_HP_Black,1,84,Available
115262616972328064_1,simple,CSTE_0490_ST_Fruit_Blox_Shadow,CSTE_0490_ST_Fruit_Blox_Shadow,1,30,Available
115288806031428608_1,simple,CSTE_O0390_OT_Toiletry_Bottles,CSTE_O0390_OT_Toiletry_Bottles,1,35,Available
115328393880431489_1,simple,CSTE_O0390_OT_Toiletry_Bottles,CSTE_O0390_OT_Toiletry_Bottles,1,35,Available
115348588242037633_1,simple,CSTE_O0390_OT_Toiletry_Bottles,CSTE_O0390_OT_Toiletry_Bottles,2,35,Available
115365192568962112_1,simple,CSTE_O0390_OT_Toiletry_Bottles,CSTE_O0390_OT_Toiletry_Bottles,1,35,Available
115367367705656384_1,simple,CSTE_O0390_OT_Toiletry_Bottles,CSTE_O0390_OT_Toiletry_Bottles,1,35,Available
115390476043189377_1,simple,CSTE_O0390_OT_Toiletry_Bottles,CSTE_O0390_OT_Toiletry_Bottles,1,35,Available
115405006669417473_1,simple,CSTE_0454_ST_Animal_Garfield_Orange,CSTE_0454_ST_Animal_Garfield_Orange,1,42,Available
115405405051714689_1,simple,32546987,CSTE_0020_MB_HP_Black,1,84,Available
115420390775618625_1,simple,CSTE_O0390_OT_Toiletry_Bottles,CSTE_O0390_OT_Toiletry_Bottles,1,35,Available
115448380007803840_1,simple,CSTE_0417_Organizer_StorageBox_SkyBlue,CSTE_0417_Organizer_StorageBox_SkyBlue,1,1,Available
115457025986685888_1,simple,CSTE_O0390_OT_Toiletry_Bottles,CSTE_O0390_OT_Toiletry_Bottles,2,35,Available
115468191022719552_1,simple,CSTE_O0390_OT_Toiletry_Bottles,CSTE_O0390_OT_Toiletry_Bottles,1,35,Available
115469669499210752_1,simple,SG_FireGlass_MercuryPink,CSTE_0162_SG_FireGlass_MercuryPink,1,5,Available
115513574469958720_1,simple,CSTE_O0390_OT_Toiletry_Bottles,CSTE_O0390_OT_Toiletry_Bottles,1,35,Available
115633101287353217_1,simple,CSTE_0478_ST_Minecraft_Cow_Brown,CSTE_0478_ST_Minecraft_Cow_Brown,1,10,Available
115698270286973953_1,simple,CSTE_O0390_OT_Toiletry_Bottles,CSTE_O0390_OT_Toiletry_Bottles,1,35,Available
115701365917121664_1,simple,32002561,CSTE_0013_MB_HBD_Red,1,0,Out of Stock
115720664186514368_1,simple,32546987,CSTE_0020_MB_HP_Black,1,84,Available
115807955320077440_1,simple,CSTE_O0390_OT_Toiletry_Bottles,CSTE_O0390_OT_Toiletry_Bottles,1,35,Available
115838875905326208_1,simple,SG_FireGlass_Green,CSTE_0157_SG_FireGlass_Green,1,7,Available
115843372879323712_1,simple,Gengar,CSTE_0463_ST_Pokemon_Gengar,1,6,Available
115903567337163776_1,simple,CSTE_O0390_OT_Toiletry_Bottles,CSTE_O0390_OT_Toiletry_Bottles,1,35,Available
116017632100252801_1,simple,SG_butterfly_Red&Green,CSTE_0148_SG_ButterFly_RedGreen,1,19,Available
116030289188519040_1,simple,32546987,CSTE_0020_MB_HP_Black,1,84,Available
116040301088500610_1,simple,CSTE_O0390_OT_Toiletry_Bottles,CSTE_O0390_OT_Toiletry_Bottles,1,35,Available
116041394765851584_1,simple,32546987,CSTE_0020_MB_HP_Black,1,84,Available
116099340455537536_1,simple,CSTE_0157_SG_FireGlass_Green,CSTE_0157_SG_FireGlass_Green,1,7,Available
116118976160977280_1,simple,CSTE_O0390_OT_Toiletry_Bottles,CSTE_O0390_OT_Toiletry_Bottles,1,35,Available
116146303410491776_1,simple,Goku Super Saiyyan Injured01,CSTE_0447_CLT_AF_Goku_SSJ,1,3,Available
116150365347709632_1,simple,CSTE_0417_Organizer_StorageBox_SkyBlue,CSTE_0417_Organizer_StorageBox_SkyBlue,1,1,Available
116172387540861632_1,simple,32546987,CSTE_0020_MB_HP_Black,1,84,Available
116176065583501441_1,simple,1951027540_9,CSTE_0156_SG_FireGlass_Yellow,1,4,Available
116201125484548800_1,simple,Dolphine bubble shooter gun for kids,CSTE_O0120_OT_DolphinBubbleMachine,1,0,Out of Stock
116221033995948162_1,simple,MB_StarWars_|BLK,CSTE_0054_MB_Starwar_Black,1,0,Out of Stock
116221673631674945_1,simple,32546987,CSTE_0020_MB_HP_Black,1,84,Available
116234426911936646_1,simple,CSTE_O0390_OT_Toiletry_Bottles,CSTE_O0390_OT_Toiletry_Bottles,1,35,Available
116235353685520899_1,simple,CSTE_O0445_OT_Glue_Sand_Rubber_Monkey,CSTE_O0445_OT_Glue_Sand_Rubber_Monkey,1,3,Available
116238959214096960_1,simple,Harry_wand,CSTE_0294_OT_Harrypotter_new_wand,1,2,Available
116445158777711936_1,simple,CSTE_0533_ST_Animal_Breathing_Koala_Grey,CSTE_0533_ST_Animal_Breathing_Koala_Grey,1,18,Available
116488116621176128_1,simple,32546987,CSTE_0020_MB_HP_Black,1,84,Available
116538345101840512_1,combo,Minecraft_Small_Sword_Steve,Minecraft_Small_Sword_Steve,1,208,Available
116569112435649859_1,simple,CSTE_0205_MB_MHA10_Brown,CSTE_0205_MB_MHA10_Brown,1,14,Available
116570316003765568_1,simple,SG_butterfly_Red&Green,CSTE_0148_SG_ButterFly_RedGreen,1,19,Available
116571712745964224_1,simple,CSTE_0157_SG_FireGlass_Green,CSTE_0157_SG_FireGlass_Green,1,7,Available
116578841773854848_1,simple,CSTE_O0390_OT_Toiletry_Bottles,CSTE_O0390_OT_Toiletry_Bottles,1,35,Available
116772587224329602_1,simple,Titanic_Brown,CSTE_0085_MB_Titanic_Brown,1,61,Available
116820604052729216_1,simple,CSTE_O0390_OT_Toiletry_Bottles,CSTE_O0390_OT_Toiletry_Bottles,1,35,Available
116832527326671424_1,simple,SG_butterfly_Red&Green,CSTE_0148_SG_ButterFly_RedGreen,1,19,Available
116846492886790657_1,simple,78945615,CSTE_0111_HD_Rug_CircleFurmat_White,1,0,Out of Stock
116917903970792000_1,simple,CSTE_O0390_OT_Toiletry_Bottles,CSTE_O0390_OT_Toiletry_Bottles,1,35,Available
116950333662757568_1,simple,32546987,CSTE_0020_MB_HP_Black,1,84,Available
117059656857276544_1,simple,CSTE_O0390_OT_Toiletry_Bottles,CSTE_O0390_OT_Toiletry_Bottles,1,35,Available
117074421839155328_1,simple,586379476_16,CSTE_0148_SG_ButterFly_RedGreen,1,19,Available
117149798162878593_1,simple,586379476_16,CSTE_0148_SG_ButterFly_RedGreen,1,19,Available
117180129255649856_1,simple,SG_FireGlass_Green,CSTE_0157_SG_FireGlass_Green,1,7,Available
117217948128801346_1,simple,CSTE_O0390_OT_Toiletry_Bottles,CSTE_O0390_OT_Toiletry_Bottles,2,35,Available
117259385402847808_1,simple,78945615,CSTE_0111_HD_Rug_CircleFurmat_White,1,0,Out of Stock
117299653107674496_1,simple,CSTE_O0390_OT_Toiletry_Bottles,CSTE_O0390_OT_Toiletry_Bottles,1,35,Available
